Problem ID,Problem Name,Problem,Completion ID,Bug ID
leetcode/2,minBitFlips,failed: Execution Failure,2,S-HO-1
leetcode/2,minBitFlips,failed: Execution Failure,3,Misaligned Algorithm
leetcode/2,minBitFlips,failed: Execution Failure,4,S-V-1
leetcode/2,minBitFlips,failed: Execution Failure,5,S-DS-1
leetcode/2,minBitFlips,failed: Compile Failure,1,Incomplete Code
leetcode/3,findDifference,failed: Execution Failure,1,M-S-1
leetcode/3,findDifference,failed: Execution Failure,2,M-S-2
leetcode/3,findDifference,failed: Execution Failure,3,M-S-3
leetcode/3,findDifference,failed: Execution Failure,4,M-S-4
leetcode/3,findDifference,failed: Execution Failure,5,M-U-1
leetcode/4,countHillValley,failed: Execution Failure,1,M-U-2
leetcode/4,countHillValley,failed: Execution Failure,2,Misaligned Algorithm
leetcode/4,countHillValley,failed: Execution Failure,3,M-U-3
leetcode/4,countHillValley,failed: Execution Failure,4,M-U-4
leetcode/4,countHillValley,failed: Execution Failure,5,M-U-5
leetcode/14,minimumSum,failed: Execution Failure,1,S-F-1
leetcode/14,minimumSum,failed: Execution Failure,3,Misaligned Algorithm
leetcode/14,minimumSum,failed: Execution Failure,5,Misaligned Algorithm
leetcode/14,minimumSum,failed: Compile Failure,2,Incomplete Code
leetcode/14,minimumSum,failed: Compile Failure,4,Incomplete Code
leetcode/16,countElements,failed: Execution Failure,1,M-U-6
leetcode/16,countElements,failed: Execution Failure,2,Misaligned Algorithm
leetcode/16,countElements,failed: Execution Failure,3,M-U-7
leetcode/16,countElements,failed: Execution Failure,4,S-HO-2
leetcode/16,countElements,failed: Execution Failure,5,Misaligned Algorithm
leetcode/17,minimumCost,failed: Execution Failure,1,Misaligned Algorithm
leetcode/17,minimumCost,failed: Execution Failure,2,S-A-1
leetcode/17,minimumCost,failed: Execution Failure,3,Misaligned Algorithm
leetcode/17,minimumCost,failed: Execution Failure,5,S-F-2
leetcode/17,minimumCost,failed: Execution Failure,4,Misaligned Algorithm
leetcode/26,maxSubsequence,failed: Execution Failure,1,Misaligned Algorithm
leetcode/26,maxSubsequence,failed: Execution Failure,2,Misaligned Algorithm
leetcode/26,maxSubsequence,failed: Execution Failure,3,Misaligned Algorithm
leetcode/26,maxSubsequence,failed: Execution Failure,5,Misaligned Algorithm
leetcode/26,maxSubsequence,failed: Execution Failure,4,Misaligned Algorithm
leetcode/27,findEvenNumbers,failed: Execution Failure,2,M-L-1
leetcode/27,findEvenNumbers,failed: Execution Failure,4,S-HO-3
leetcode/27,findEvenNumbers,failed: Compile Failure,1,Incomplete Code
leetcode/27,findEvenNumbers,failed: Compile Failure,3,Incomplete Code
leetcode/27,findEvenNumbers,failed: Compile Failure,5,Incomplete Code
