Problem ID,Problem Name,Problem,Completion ID,Bug ID
leetcode/1,findWinner,failed: Execution Failure,1,M-U-20
leetcode/1,findWinner,failed: Compile Failure,2,Incomplete Code
leetcode/1,findWinner,failed: Execution Failure,3,S-O-8
leetcode/1,findWinner,failed: Execution Failure,4,S-AS-9
leetcode/1,findWinner,failed: Execution Failure,5,S-F-3
leetcode/3,minDeletion,failed: Execution Failure,1,Misaligned Algorithm
leetcode/3,minDeletion,failed: Execution Failure,2,Misaligned Algorithm
leetcode/3,minDeletion,failed: Execution Failure,3,Misaligned Algorithm
leetcode/3,minDeletion,failed: Execution Failure,4,M-L-6
leetcode/3,minDeletion,failed: Execution Failure,5,Misaligned Algorithm
leetcode/4,countCollisions,failed: Execution Failure,1,Misaligned Algorithm
leetcode/4,countCollisions,failed: Execution Failure,3,Misaligned Algorithm
leetcode/4,countCollisions,failed: Execution Failure,4,Misaligned Algorithm
leetcode/4,countCollisions,failed: Execution Failure,5,Misaligned Algorithm
leetcode/4,countCollisions,failed: Compile Failure,2,Incomplete Code
leetcode/5,maximumSubsequenceCount,failed: Execution Failure,1,Misaligned Algorithm
leetcode/5,maximumSubsequenceCount,failed: Execution Failure,2,Misaligned Algorithm
leetcode/5,maximumSubsequenceCount,failed: Execution Failure,3,Misaligned Algorithm
leetcode/5,maximumSubsequenceCount,failed: Execution Failure,4,M-U-21
leetcode/5,maximumSubsequenceCount,failed: Execution Failure,5,Misaligned Algorithm
leetcode/6,digArtifacts,failed: Execution Failure,1,Misaligned Algorithm
leetcode/6,digArtifacts,failed: Execution Failure,3,Misaligned Algorithm
leetcode/6,digArtifacts,failed: Execution Failure,4,Misaligned Algorithm
leetcode/6,digArtifacts,failed: Compile Failure,2,Incomplete Code
leetcode/6,digArtifacts,failed: Compile Failure,5,Incomplete Code
leetcode/7,minimalKSum,failed: Execution Failure,1,Misaligned Algorithm
leetcode/7,minimalKSum,failed: Execution Failure,2,Misaligned Algorithm
leetcode/7,minimalKSum,failed: Execution Failure,3,Misaligned Algorithm
leetcode/7,minimalKSum,failed: Execution Failure,4,Misaligned Algorithm
leetcode/7,minimalKSum,failed: Execution Failure,5,Misaligned Algorithm
leetcode/9,minSteps,failed: Execution Failure,1,M-U-22
leetcode/9,minSteps,failed: Execution Failure,2,M-U-23
leetcode/9,minSteps,failed: Execution Failure,3,S-O-9
leetcode/9,minSteps,failed: Execution Failure,4,M-U-24
leetcode/9,minSteps,failed: Execution Failure,5,M-U-25
leetcode/12,minimumOperations,failed: Execution Failure,1,Misaligned Algorithm
leetcode/12,minimumOperations,failed: Execution Failure,2,Misaligned Algorithm
leetcode/12,minimumOperations,failed: Execution Failure,3,Misaligned Algorithm
leetcode/12,minimumOperations,failed: Execution Failure,4,Misaligned Algorithm
leetcode/12,minimumOperations,failed: Execution Failure,5,Misaligned Algorithm
leetcode/13,smallestNumber,failed: Execution Failure,1,Misaligned Algorithm
leetcode/13,smallestNumber,failed: Execution Failure,2,M-U-26
leetcode/13,smallestNumber,failed: Execution Failure,3,Misaligned Algorithm
leetcode/13,smallestNumber,failed: Execution Failure,4,Misaligned Algorithm
leetcode/13,smallestNumber,failed: Execution Failure,5,Misaligned Algorithm
leetcode/14,pivotArray,failed: Execution Failure,1,Misaligned Algorithm
leetcode/14,pivotArray,failed: Execution Failure,2,Misaligned Algorithm
leetcode/14,pivotArray,failed: Execution Failure,3,Misaligned Algorithm
leetcode/14,pivotArray,failed: Execution Failure,4,M-U-27
leetcode/14,pivotArray,failed: Execution Failure,5,Misaligned Algorithm
leetcode/15,maxScoreIndices,failed: Execution Failure,1,M-L-7
leetcode/15,maxScoreIndices,failed: Execution Failure,2,M-U-28
leetcode/15,maxScoreIndices,failed: Execution Failure,4,Misaligned Algorithm
leetcode/15,maxScoreIndices,failed: Execution Failure,5,Misaligned Algorithm
leetcode/15,maxScoreIndices,failed: Compile Failure,3,Incomplete Code
leetcode/17,numberOfArrays,failed: Execution Failure,1,Misaligned Algorithm
leetcode/17,numberOfArrays,failed: Execution Failure,3,Misaligned Algorithm
leetcode/17,numberOfArrays,failed: Execution Failure,5,Misaligned Algorithm
leetcode/17,numberOfArrays,failed: Compile Failure,2,Incomplete Code
leetcode/17,numberOfArrays,failed: Compile Failure,4,Invoke Undefined Program Elements
leetcode/21,numberOfBeams,failed: Execution Failure,1,Misaligned Algorithm
leetcode/21,numberOfBeams,failed: Execution Failure,3,Misaligned Algorithm
leetcode/21,numberOfBeams,failed: Execution Failure,4,Misaligned Algorithm
leetcode/21,numberOfBeams,failed: Execution Failure,5,Misaligned Algorithm
leetcode/21,numberOfBeams,failed: Compile Failure,2,Incomplete Code
leetcode/22,executeInstructions,failed: Execution Failure,2,M-U-29
leetcode/22,executeInstructions,failed: Execution Failure,3,M-L-8
leetcode/22,executeInstructions,failed: Execution Failure,4,M-L-9
leetcode/22,executeInstructions,failed: Compile Failure,1,Invoke Undefined Program Elements
leetcode/22,executeInstructions,failed: Compile Failure,5,Incomplete Code
leetcode/23,findAllRecipes,failed: Execution Failure,2,Misaligned Algorithm
leetcode/23,findAllRecipes,failed: Execution Failure,3,Misaligned Algorithm
leetcode/23,findAllRecipes,failed: Execution Failure,5,Misaligned Algorithm
leetcode/23,findAllRecipes,failed: Compile Failure,1,Incomplete Code
leetcode/23,findAllRecipes,failed: Compile Failure,4,Invoke Undefined Program Elements
leetcode/26,goodDaysToRobBank,failed: Execution Failure,1,Misaligned Algorithm
leetcode/26,goodDaysToRobBank,failed: Execution Failure,2,Misaligned Algorithm
leetcode/26,goodDaysToRobBank,failed: Execution Failure,3,Misaligned Algorithm
leetcode/26,goodDaysToRobBank,failed: Execution Failure,4,Misaligned Algorithm
leetcode/26,goodDaysToRobBank,failed: Execution Failure,5,Misaligned Algorithm
leetcode/29,minimumBuckets,failed: Execution Failure,1,Misaligned Algorithm
leetcode/29,minimumBuckets,failed: Execution Failure,2,Misaligned Algorithm
leetcode/29,minimumBuckets,failed: Execution Failure,3,Misaligned Algorithm
leetcode/29,minimumBuckets,failed: Execution Failure,4,Misaligned Algorithm
leetcode/29,minimumBuckets,failed: Execution Failure,5,Misaligned Algorithm
leetcode/30,wateringPlants,failed: Execution Failure,1,M-L-10
leetcode/30,wateringPlants,failed: Execution Failure,2,M-U-30
leetcode/30,wateringPlants,failed: Execution Failure,3,S-O-10
leetcode/30,wateringPlants,failed: Execution Failure,4,M-S-8
leetcode/30,wateringPlants,failed: Execution Failure,5,M-U-31
leetcode/35,maxTwoEvents,failed: Execution Failure,1,Misaligned Algorithm
leetcode/35,maxTwoEvents,failed: Execution Failure,2,Misaligned Algorithm
leetcode/35,maxTwoEvents,failed: Execution Failure,3,Misaligned Algorithm
leetcode/35,maxTwoEvents,failed: Execution Failure,4,Misaligned Algorithm
leetcode/35,maxTwoEvents,failed: Execution Failure,5,Misaligned Algorithm
leetcode/38,winnerOfGame,failed: Execution Failure,1,Misaligned Algorithm
leetcode/38,winnerOfGame,failed: Execution Failure,2,Misaligned Algorithm
leetcode/38,winnerOfGame,failed: Execution Failure,3,S-DS-3
leetcode/38,winnerOfGame,failed: Execution Failure,4,Misaligned Algorithm
leetcode/38,winnerOfGame,failed: Execution Failure,5,Misaligned Algorithm
leetcode/39,minOperations,failed: Execution Failure,1,Misaligned Algorithm
leetcode/39,minOperations,failed: Execution Failure,2,Misaligned Algorithm
leetcode/39,minOperations,failed: Execution Failure,3,Misaligned Algorithm
leetcode/39,minOperations,failed: Execution Failure,4,Misaligned Algorithm
leetcode/39,minOperations,failed: Execution Failure,5,Misaligned Algorithm
leetcode/40,missingRolls,failed: Execution Failure,1,Misaligned Algorithm
leetcode/40,missingRolls,failed: Execution Failure,2,Misaligned Algorithm
leetcode/40,missingRolls,failed: Execution Failure,3,Misaligned Algorithm
leetcode/40,missingRolls,failed: Execution Failure,4,Misaligned Algorithm
leetcode/40,missingRolls,failed: Execution Failure,5,Misaligned Algorithm
leetcode/41,numOfPairs,failed: Execution Failure,1,S-HO-6
leetcode/41,numOfPairs,failed: Execution Failure,2,S-O-11
leetcode/41,numOfPairs,failed: Execution Failure,3,S-HO-7
leetcode/41,numOfPairs,failed: Execution Failure,4,S-HO-8
leetcode/41,numOfPairs,failed: Execution Failure,5,S-HO-9
leetcode/42,gridGame,failed: Execution Failure,1,Misaligned Algorithm
leetcode/42,gridGame,failed: Execution Failure,2,Misaligned Algorithm
leetcode/42,gridGame,failed: Execution Failure,3,Misaligned Algorithm
leetcode/42,gridGame,failed: Execution Failure,4,Misaligned Algorithm
leetcode/42,gridGame,failed: Execution Failure,5,Misaligned Algorithm
leetcode/44,findOriginalArray,failed: Execution Failure,2,Misaligned Algorithm
leetcode/44,findOriginalArray,failed: Execution Failure,3,Misaligned Algorithm
leetcode/44,findOriginalArray,failed: Execution Failure,4,Misaligned Algorithm
leetcode/44,findOriginalArray,failed: Execution Failure,5,Misaligned Algorithm
leetcode/44,findOriginalArray,failed: Execution Failure,1,Misaligned Algorithm
leetcode/47,findFarmland,failed: Execution Failure,2,Misaligned Algorithm
